LOCATION,BEEF,PIG,POULTRY,SHEEP
AUS,21.1062951,21.26287373,44.00931338,8.569871813
CAN,17.28166621,16.54130262,35.14696028,0.900059692
JPN,7.16972054,15.4641583,16.87119243,0.145649829
KOR,10.25377381,29.84617403,17.17461985,0.260624392
MEX,8.818529455,12.2645671,27.7453384,0.507681585
NZL,12.94144185,17.73550911,37.02652504,4.488080075
