LOCATION,BEEF,PIG,POULTRY,SHEEP
AUS,21.1062951,21.26287373,44.00931338,8.569871813
CAN,17.28166621,16.54130262,35.14696028,0.900059692
JPN,7.16972054,15.4641583,16.87119243,0.145649829
KOR,10.25377381,29.84617403,17.17461985,0.260624392
MEX,8.818529455,12.2645671,27.7453384,0.507681585
NZL,12.94144185,17.73550911,37.02652504,4.488080075
CHN,3.913892856,30.29654663,11.87960815,3.066695095
ARG,39.63990976,10.57124629,39.95388516,1.209830344
IND,0.514396877,0.208915864,2.140015026,0.461987244
